u_apercor	g_apercor	r_apercor	i_apercor	z_apercor	y_apercor
23.2586	23.0581	22.8011	22.1923	21.9478	21.9986
24.6932	23.9614	23.3988	23.2192	23.0768	23.4182
23.3464	23.1920	22.8637	22.3132	21.8213	21.8246
25.4775	24.9137	24.1216	23.0811	22.6288	22.4375
24.2806	24.1679	24.0240	23.5307	23.2858	23.2639
23.9164	23.1972	22.6063	22.4087	22.2588	22.1367
24.3277	24.1616	23.9238	23.3366	23.1185	23.3029
24.2095	23.9900	23.7693	23.3329	23.0753	22.8398
25.8030	24.4243	22.6738	21.5266	21.0669	21.1669
24.0102	23.5788	23.0529	22.2575	22.0042	21.8123
24.8445	24.4372	23.6526	22.9046	22.3119	22.2754
24.6625	24.3352	23.5437	23.1500	23.1174	23.0870
21.9290	21.2257	20.7563	20.5455	20.4617	20.4793
24.1691	23.9188	23.3416	22.8822	22.8618	22.6197
24.4362	24.3018	23.9894	23.4856	23.2868	23.2140
24.9893	24.4067	23.9013	23.8298	23.7220	23.5179
23.0602	22.8772	22.3479	21.9408	21.8338	22.1745
27.8157	25.3209	23.6688	22.4314	21.5903	21.3425
24.3888	24.1227	23.4685	22.6387	21.9194	21.7196
24.9532	22.9571	21.4814	20.4726	20.1316	20.1668
23.6976	23.3004	22.8049	22.1734	21.5311	21.0816
22.4899	21.9467	21.1154	20.7948	20.5880	20.5111
27.0691	25.2058	23.8183	22.4346	21.7726	21.6850
23.6141	22.6659	21.6153	20.6521	20.3118	20.1336
22.9746	22.1999	21.7065	21.5522	21.4853	21.5708
24.1625	23.8592	23.2023	22.9253	22.9195	22.5918
22.1249	21.9217	21.4689	21.3030	21.3052	21.8784
23.0957	21.4255	20.2356	19.6936	19.4432	19.3414
23.8256	23.2183	22.4148	21.7175	21.4954	21.3473
24.6189	24.4018	23.7717	23.2635	23.1586	23.0265
23.4410	23.1894	22.6715	22.1308	21.9774	21.9713
23.9181	23.7932	23.6411	23.3733	22.9937	23.1249
23.9533	22.5197	21.2220	20.5407	20.2545	20.4684
25.4541	23.4384	21.8777	20.8498	20.4478	20.3094
23.9369	23.4058	22.7421	21.9926	21.3807	21.0509
25.6148	23.5202	22.0467	21.0348	20.6843	20.6202
23.0536	22.9362	22.8597	22.6596	22.3156	22.2830
23.5147	23.3848	23.1818	22.7435	22.3616	22.4002
25.1951	25.1610	25.1334	24.9825	24.6025	24.1292
24.2354	24.0826	23.8874	23.2697	23.0673	22.6825
25.7417	25.5494	25.0797	24.8686	24.9085	24.1815
24.2557	23.8726	23.3064	23.0891	23.0919	23.2667
24.6630	24.1199	23.4211	23.2090	23.1133	23.0695
24.0385	23.3051	22.7277	22.4909	22.3745	22.3022
23.1972	22.8622	22.4276	21.7096	21.4736	21.3533
23.8700	23.7457	23.5550	23.2444	22.7381	22.5279
24.1863	23.2832	22.6311	22.3612	22.2228	22.1170
23.8874	23.8812	23.8996	23.6545	23.5789	23.1050
26.2939	24.9064	23.1740	21.9116	21.2704	20.9669
23.8565	23.1697	22.1143	21.6013	21.3629	21.1529
21.0107	20.0079	19.2047	18.7873	18.6084	18.5183
22.9010	22.4998	21.7228	21.3723	21.2602	20.9710
24.3560	24.2220	23.7201	23.2572	23.1308	23.1399
23.7231	22.0194	20.5993	20.0094	19.7492	19.5799
23.7734	23.5117	22.7678	22.4849	22.4327	22.2988
25.2259	23.9489	22.6843	22.0785	21.7350	21.5281
25.1268	24.7066	23.9332	23.5606	23.4942	23.1679
24.4223	23.6432	23.0323	22.8210	22.6753	22.8837
23.2404	23.1330	22.9102	22.4473	22.3141	22.3276
24.4476	24.1917	23.8050	23.2064	22.7862	22.6199
23.0755	23.0082	22.8887	22.2835	22.1807	22.1897
23.8353	23.6967	23.4554	22.9763	22.7997	22.7794
24.1500	23.1964	21.8718	20.6654	20.1834	20.1734
24.3068	24.1308	23.5438	22.9482	22.8046	23.2720
25.0790	24.5011	23.9604	23.8661	23.7098	23.7268
21.4238	20.9615	20.2965	19.9116	19.8827	19.8289
25.6112	24.4563	23.2884	22.4495	22.1831	22.4103
23.5035	23.2979	22.9535	22.3082	22.1325	22.5234
25.5345	25.1652	24.3923	24.0061	23.9141	23.9378
23.9798	23.7123	23.2839	22.5822	22.4152	22.3570
24.6084	24.2203	23.3087	22.9280	22.8101	22.6675
25.4644	24.9227	24.0816	23.7905	23.6345	23.9576
24.0835	23.7899	23.3247	22.7549	22.5827	22.5222
25.3774	24.5094	23.6088	23.3095	23.1396	23.1281
23.8185	23.6300	23.3223	22.7184	22.3250	22.1224
24.5646	24.2902	24.0052	23.3567	23.2267	23.0941
24.7233	24.6351	24.5959	24.4592	24.0619	23.5632
24.8771	24.3131	23.7880	23.0584	22.8195	22.6477
24.5397	24.2812	23.6741	23.2787	23.4754	22.8781
24.0335	23.9066	23.9145	23.9154	23.8312	23.4275
25.4993	25.3919	25.2316	24.5661	24.4835	24.3794
24.1036	23.8089	23.3496	22.7225	22.3540	21.9473
24.7406	23.7546	23.3522	23.1339	23.1114	22.8705
23.6590	23.5393	23.4219	22.9581	22.7644	22.4194
25.6219	24.9693	24.0358	23.7440	23.6324	23.2643
24.1182	23.9857	23.7038	23.1970	22.7628	22.5630
24.0616	23.9837	23.5967	23.1113	22.9754	23.1037
25.0229	24.0821	23.2335	22.2766	21.9254	21.6021
24.3580	24.0150	23.7304	23.3444	23.0885	22.4380
22.8942	22.5168	21.7790	21.5043	21.3707	21.5045
23.1796	22.8519	22.3765	21.7941	21.6418	21.5845
24.2065	24.0661	23.8587	23.5846	23.1111	22.7403
24.0189	23.8570	23.6419	23.0094	22.8178	22.8897
23.1909	23.0416	22.7982	22.3527	22.0139	21.8014
24.3237	24.0572	23.5738	23.0258	22.9753	23.6161
23.0977	22.9439	22.6532	22.2805	21.9459	21.7714
24.4511	23.9554	23.4179	23.3323	23.1405	23.1534
24.4017	24.1171	23.6244	22.9776	22.8245	22.6560
25.0548	24.5001	23.9556	23.1958	22.9357	22.5824
23.6091	23.2594	22.6844	22.2026	22.0587	22.2471
27.3652	25.4030	23.6764	22.3971	21.7675	21.4609
24.8316	23.9176	22.3822	21.1112	20.4868	20.3890
23.4660	23.3410	22.9384	22.5485	22.0372	21.8362
27.0625	25.4897	23.9984	23.1761	22.7653	22.4612
24.6803	24.2345	23.3758	23.0576	22.9902	22.7177
24.0661	23.7981	23.4290	22.7438	22.5601	22.4243
23.1070	22.4802	21.5658	21.0967	20.8697	20.5257
23.8072	23.2918	22.5970	22.3997	22.2789	22.4443
23.3497	23.1908	22.9690	22.4340	22.1350	21.8989
25.5213	23.8781	22.4225	21.6608	21.2770	21.1004
23.8138	23.6832	23.5667	23.0886	22.8973	22.4614
23.0270	22.8253	22.6615	22.3849	22.0059	21.8645
24.1201	23.7363	23.1221	22.5928	22.2445	22.5668
25.0674	24.7367	23.9493	23.6386	23.5576	23.2370
23.8477	23.2161	22.5030	21.5269	21.1760	20.9533
24.3921	24.1109	23.4451	23.1940	23.1587	22.7301
22.8120	22.2012	21.7799	21.7014	21.5746	21.5401
22.1179	21.3991	20.6252	20.3735	20.1661	20.1590
23.6822	23.5192	23.2888	22.8579	22.5047	22.4790
24.0475	23.8097	23.4419	23.0976	23.2315	23.0607
23.5778	23.4153	23.2865	23.1260	22.8089	22.3544
23.4369	22.9689	22.2613	21.6985	21.5435	21.3392
24.5102	24.0933	23.3768	22.5068	21.8922	21.6823
24.3505	23.8279	23.0190	22.7255	22.6052	22.4825
24.6905	23.3803	22.1853	21.6447	21.4161	21.3786
23.0379	22.4666	21.6714	21.3945	21.2334	21.1520
23.8605	23.6644	23.5075	23.3487	22.9643	22.7711
22.8883	22.0550	21.4642	21.2478	21.1264	20.9989
26.1197	24.8525	23.4130	22.0531	21.5112	21.1891
22.6509	21.9247	21.3438	21.1099	20.9668	21.0339
23.9961	23.6518	22.9754	22.1851	21.6178	21.4475
24.8129	24.4841	24.0608	23.3860	23.1846	23.0328
23.4505	22.8545	22.3436	22.1495	21.9596	21.9827
22.4304	21.9423	21.4503	20.7383	20.4908	20.2493
23.3842	22.4598	21.4010	20.9049	20.5535	20.3116
23.7157	22.9288	21.8583	21.3729	21.1377	20.8952
21.6135	20.6087	19.6388	19.2022	18.9288	18.9513
23.7854	23.4628	23.0536	22.4900	22.3076	22.2025
22.6588	22.5148	22.2481	21.8680	21.4939	21.3214
23.7286	22.7261	21.6884	21.2257	20.9724	20.7578
25.3093	24.6015	23.8411	22.9396	22.6313	22.3829
23.3357	21.4675	19.9677	19.3286	19.0390	18.8855
23.7565	21.7540	20.2029	19.5132	19.2177	19.1150
24.6037	24.4301	24.0558	23.3789	23.2318	23.1627
23.5357	23.3186	22.7487	22.1751	21.6675	21.3569
25.0116	24.2782	23.4960	23.2365	23.0798	22.9209
22.1430	21.4145	20.7075	20.4375	20.1705	20.0497
23.5066	22.9708	22.1258	21.8682	21.7684	21.6098
21.1001	20.5054	19.7419	19.4061	19.1718	18.9054
23.6996	23.3286	22.5281	22.1781	22.1142	21.8720
24.4900	23.8217	23.0069	22.6991	22.4959	22.4264
22.9128	21.9114	20.7623	20.2394	19.9546	19.8508
21.3388	20.8694	19.9196	19.3950	19.1302	18.9821
25.0451	24.4494	23.7994	22.8775	22.5759	22.2687
